n,m,tau_a,tau_b,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,bin_a,asym_difficulty
7.0,9.0,0.0,2.0,0.4444444444444444,0.6666666666666666,4782969.0,3882417.0,3882417.0,0.8117169481968208,1.0,"(0.8, 0.85]",-0.18828305180317917
7.0,9.0,0.0,4.0,1.0,0.3333333333333333,4782969.0,4085625.0,4085625.0,0.8542026929298517,1.0,"(0.85, 0.9]",-0.14579730707014826
7.0,9.0,0.0,2.0,0.4444444444444444,0.7777777777777777,4782969.0,2470629.0,2470629.0,0.5165471488525224,1.0,"(0.5, 0.55]",-0.4834528511474776
7.0,9.0,0.0,4.0,1.0,0.4444444444444444,4782969.0,2965625.0,2965625.0,0.6200385158256305,1.0,"(0.6, 0.65]",-0.3799614841743695
7.0,9.0,0.0,4.0,1.0,0.5555555555555556,4782969.0,2965625.0,2965625.0,0.6200385158256305,1.0,"(0.6, 0.65]",-0.3799614841743695
7.0,9.0,0.0,1.0,0.2222222222222222,0.7777777777777777,4782969.0,3932160.0,3932160.0,0.8221169737876202,1.0,"(0.8, 0.85]",-0.17788302621237984
7.0,9.0,0.0,3.0,0.7777777777777777,0.4444444444444444,4782969.0,3954096.0,3954096.0,0.8267032464563329,1.0,"(0.8, 0.85]",-0.17329675354366714
7.0,9.0,0.0,6.0,0.2222222222222222,0.1111111111111111,4782969.0,4503033.0,4503033.0,0.9414723365340648,1.0,"(0.9, 0.95]",-0.05852766346593519
7.0,9.0,0.0,6.0,0.2222222222222222,0.2222222222222222,4782969.0,3523257.0,3523257.0,0.7366255144032922,1.0,"(0.7, 0.75]",-0.26337448559670784
7.0,9.0,0.0,3.0,0.7777777777777777,0.6666666666666666,4782969.0,2729376.0,2729376.0,0.5706447187928669,1.0,"(0.55, 0.6]",-0.42935528120713307
7.0,9.0,0.0,5.0,0.0,0.2222222222222222,4782969.0,4267344.0,4267344.0,0.8921956215898535,1.0,"(0.85, 0.9]",-0.10780437841014645
7.0,9.0,0.0,5.0,0.0,0.3333333333333333,4782969.0,3217344.0,3217344.0,0.6726667055546459,1.0,"(0.65, 0.7]",-0.3273332944453541
7.0,9.0,0.0,2.0,0.5555555555555556,0.7777777777777777,4782969.0,2470629.0,2470629.0,0.5165471488525224,1.0,"(0.5, 0.55]",-0.4834528511474776
7.0,9.0,0.0,6.0,0.3333333333333333,0.1111111111111111,4782969.0,4503033.0,4503033.0,0.9414723365340648,1.0,"(0.9, 0.95]",-0.05852766346593519
7.0,9.0,0.0,6.0,0.3333333333333333,0.2222222222222222,4782969.0,3523257.0,3523257.0,0.7366255144032922,1.0,"(0.7, 0.75]",-0.26337448559670784
7.0,9.0,0.0,3.0,0.8888888888888888,0.6666666666666666,4782969.0,2729376.0,2729376.0,0.5706447187928669,1.0,"(0.55, 0.6]",-0.42935528120713307
7.0,9.0,0.0,5.0,0.1111111111111111,0.2222222222222222,4782969.0,4267344.0,4267344.0,0.8921956215898535,1.0,"(0.85, 0.9]",-0.10780437841014645
7.0,9.0,0.0,5.0,0.1111111111111111,0.3333333333333333,4782969.0,3217344.0,3217344.0,0.6726667055546459,1.0,"(0.65, 0.7]",-0.3273332944453541
7.0,9.0,0.0,2.0,0.6666666666666666,0.7777777777777777,4782969.0,2470629.0,2470629.0,0.5165471488525224,1.0,"(0.5, 0.55]",-0.4834528511474776
7.0,9.0,1.0,3.0,0.0,0.6666666666666666,4782969.0,2729376.0,2729376.0,0.5706447187928669,1.0,"(0.55, 0.6]",-0.42935528120713307
7.0,9.0,0.0,6.0,0.4444444444444444,0.1111111111111111,4782969.0,4503033.0,4503033.0,0.9414723365340648,1.0,"(0.9, 0.95]",-0.05852766346593519
7.0,9.0,0.0,6.0,0.4444444444444444,0.2222222222222222,4782969.0,3523257.0,3523257.0,0.7366255144032922,1.0,"(0.7, 0.75]",-0.26337448559670784
7.0,9.0,0.0,5.0,0.2222222222222222,0.3333333333333333,4782969.0,3217344.0,3217344.0,0.6726667055546459,1.0,"(0.65, 0.7]",-0.3273332944453541
7.0,9.0,1.0,3.0,0.1111111111111111,0.6666666666666666,2685817.0,2729376.0,1143072.0,0.4255956381242654,0.4188034188034188,"(0.4, 0.45]",0.00679221932084656
7.0,9.0,1.0,3.0,0.1111111111111111,0.7777777777777777,2685817.0,1259712.0,326592.0,0.1215987537497901,0.25925925925925924,"(0.1, 0.15]",-0.13766050550946915
7.0,9.0,0.0,4.0,0.0,0.4444444444444444,4782969.0,2965625.0,2965625.0,0.6200385158256305,1.0,"(0.6, 0.65]",-0.3799614841743695
7.0,9.0,1.0,3.0,0.2222222222222222,0.6666666666666666,850809.0,2729376.0,163296.0,0.1919302687207117,0.05982905982905984,"(0.15, 0.2]",0.13210120889165186
7.0,9.0,1.0,3.0,0.3333333333333333,0.4444444444444444,162681.0,3954096.0,45360.0,0.27882789016541576,0.01147164863979023,"(0.25, 0.3]",0.26735624152562554
7.0,9.0,1.0,3.0,0.3333333333333333,0.5555555555555556,162681.0,3954096.0,45360.0,0.27882789016541576,0.01147164863979023,"(0.25, 0.3]",0.26735624152562554
7.0,9.0,1.0,2.0,0.1111111111111111,0.7777777777777777,2685817.0,2470629.0,823543.0,0.3066266242264458,0.3333333333333333,"(0.3, 0.35]",-0.026706709106887494
7.0,9.0,1.0,3.0,0.4444444444444444,0.3333333333333333,19321.0,4566456.0,7560.0,0.39128409502613737,0.0016555508254103401,"(0.35, 0.4]",0.389628544200727
7.0,9.0,1.0,2.0,0.2222222222222222,0.6666666666666666,850809.0,3882417.0,352947.0,0.4148369375500259,0.09090909090909093,"(0.4, 0.45]",0.32392784664093494
7.0,9.0,1.0,3.0,0.5555555555555556,0.3333333333333333,19321.0,4566456.0,7560.0,0.39128409502613737,0.0016555508254103401,"(0.35, 0.4]",0.389628544200727
7.0,9.0,1.0,6.0,0.5555555555555556,0.3333333333333333,19321.0,2053593.0,945.0,0.04891051187826717,0.00046016907926741085,"(-0.001, 0.05]",0.04845034279899976
7.0,9.0,1.0,5.0,0.3333333333333333,0.3333333333333333,162681.0,3217344.0,47040.0,0.28915484906043115,0.014620755505162022,"(0.25, 0.3]",0.27453409355526914
7.0,9.0,1.0,5.0,0.3333333333333333,0.4444444444444444,162681.0,1817344.0,8960.0,0.0550771141067488,0.0049302718692773645,"(0.05, 0.1]",0.050146842237471435
7.0,9.0,1.0,5.0,0.3333333333333333,0.5555555555555556,162681.0,1817344.0,8960.0,0.0550771141067488,0.0049302718692773645,"(0.05, 0.1]",0.050146842237471435
7.0,9.0,1.0,4.0,0.1111111111111111,0.3333333333333333,2685817.0,4085625.0,2143750.0,0.798174261314155,0.5247055224108919,"(0.75, 0.8]",0.2734687389032632
7.0,9.0,2.0,4.0,0.5555555555555556,0.3333333333333333,228272.0,4085625.0,70000.0,0.30665171374500594,0.017133241548110755,"(0.3, 0.35]",0.2895184721968952
7.0,9.0,1.0,4.0,0.1111111111111111,0.6666666666666666,2685817.0,1565625.0,568750.0,0.21176051830783707,0.3632734530938124,"(0.2, 0.25]",-0.15151293478597536
7.0,9.0,1.0,6.0,0.6666666666666666,0.2222222222222222,1401.0,3523257.0,189.0,0.1349036402569593,5.364354629821214e-05,"(0.1, 0.15]",0.13484999671066109
7.0,9.0,1.0,4.0,0.1111111111111111,0.7777777777777777,2685817.0,515625.0,109375.0,0.04072317659766097,0.21212121212121213,"(-0.001, 0.05]",-0.17139803552355115
7.0,9.0,2.0,3.0,0.3333333333333333,0.4444444444444444,900552.0,3954096.0,362880.0,0.40295285558190974,0.09177318911832186,"(0.4, 0.45]",0.31117966646358786
7.0,9.0,1.0,5.0,0.4444444444444444,0.2222222222222222,19321.0,4267344.0,9296.0,0.4811345168469541,0.0021784041783366893,"(0.45, 0.5]",0.4789561126686174
7.0,9.0,1.0,5.0,0.4444444444444444,0.3333333333333333,19321.0,3217344.0,2240.0,0.11593602815589255,0.000696226452626763,"(0.1, 0.15]",0.11523980170326578
7.0,9.0,1.0,4.0,0.2222222222222222,0.4444444444444444,850809.0,2965625.0,284375.0,0.33424070502310155,0.0958904109589041,"(0.3, 0.35]",0.23835029406419744
7.0,9.0,2.0,2.0,0.1111111111111111,0.6666666666666666,3959426.0,3882417.0,3058874.0,0.7725549107370614,0.7878787878787878,"(0.75, 0.8]",-0.01532387714172645
7.0,9.0,2.0,4.0,0.6666666666666666,0.2222222222222222,36192.0,4623225.0,16800.0,0.4641909814323608,0.003633827036322048,"(0.45, 0.5]",0.4605571543960388
7.0,9.0,1.0,6.0,0.7777777777777777,0.1111111111111111,57.0,4503033.0,21.0,0.3684210526315789,4.663523451860113e-06,"(0.35, 0.4]",0.3684163891081271
7.0,9.0,1.0,4.0,0.2222222222222222,0.6666666666666666,850809.0,1565625.0,65625.0,0.07713247038994651,0.041916167664670656,"(0.05, 0.1]",0.03521630272527586
7.0,9.0,1.0,5.0,0.5555555555555556,0.2222222222222222,19321.0,4267344.0,9296.0,0.4811345168469541,0.0021784041783366893,"(0.45, 0.5]",0.4789561126686174
7.0,9.0,1.0,5.0,0.6666666666666666,0.2222222222222222,1401.0,4267344.0,336.0,0.2398286937901499,7.873750042180804e-05,"(0.2, 0.25]",0.2397499562897281
7.0,9.0,3.0,0.0,0.2222222222222222,0.4444444444444444,3523257.0,3954096.0,2694384.0,0.7647423960273122,0.6814159292035398,"(0.75, 0.8]",0.08332646682377243
7.0,9.0,1.0,4.0,0.4444444444444444,0.3333333333333333,19321.0,4085625.0,4375.0,0.22643755499197765,0.0010708275967569222,"(0.2, 0.25]",0.22536672739522073
7.0,9.0,2.0,6.0,0.1111111111111111,0.6666666666666666,3959426.0,216513.0,112266.0,0.02835410991391176,0.5185185185185185,"(-0.001, 0.05]",-0.49016440860460675
7.0,9.0,2.0,1.0,0.2222222222222222,0.8888888888888888,2312340.0,2097152.0,450066.0,0.19463660188380602,0.21460819244384768,"(0.15, 0.2]",-0.019971590560041663
7.0,9.0,2.0,1.0,0.2222222222222222,1.0,2312340.0,2097152.0,450066.0,0.19463660188380602,0.21460819244384768,"(0.15, 0.2]",-0.019971590560041663
